"ID_CREDOR";"NR_CNPJ";"NOME"
52;33657248000189;"BNDES-BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL"
58;99999990003368;"AGENCE FRANCAISE DE DEVELOPPMENT"
53;99999997990402;"THEOVERSEAS ECONOMIC COOPERATION - FUN"
45;99999997999388;"BID-BANCO INTERAMERICANO DE DESENVOLVIMENTO"
57;99999990003449;"CREDIT SUISSE AG."
55;3379;"BANCO DO BRASIL S.A"
44;99999997999205;"BIRD-BANCO INTERNACIONAL PARA RECONSTRUCAO E DESENVOLVIMENTO"
49;7237373013108;"BANCO DO NORDESTE DO BRASIL S.A"
81;7237373003498;"BANCO DO NORDESTE DO BRASIL S/A"
42;360305000104;"CAIXA ECONOMICA FEDERAL"
